,ARGENTINA,AR -1   ,ATUCHA-1,PHWR ,PHWR KWU,1179,362,340,NASA,SIEMENS,1968-6 ,1974-3 ,1974-6 ,74.6,75.5,,-,
,,AR -2   ,EMBALSE,PHWR ,CANDU 6,2064,656,608,NASA,AECL,1974-4 ,1983-4 ,1984-1 ,78.7,78.9,,-,
,,AR -3   ,ATUCHA-2,PHWR ,PHWR KWU,2160,745,693,NASA,SIEMENS,1981-7 ,2014-6 ,2016-5 ,53.9,53.9,,-,
,ARMENIA,AM -19  ,ARMENIAN-2,PWR  ,VVER V-270,1375,451,448,ANPPCJSC,FAEA,1975-7 ,1980-1 ,1980-5 ,65,67,,-,
,BELARUS,BY -1   ,BELARUSIAN-1,PWR  ,VVER V-491,3200,1194,1110,BelNPP,JSC ASE,2013-11,2020-11,2021-6 ,58.7,58.7,,-,
,BELGIUM,BE -2   ,DOEL-1,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,1969-7 ,1974-8 ,1975-2 ,83.6,84.4,,-,
,,BE -3   ,TIHANGE-1,PWR  ,Framatome 3 lo,2873,1009,962,EBL,ACLF,1970-6 ,1975-3 ,1975-10,80.3,82.3,,-,
,,BE -4   ,DOEL-2,PWR  ,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,1971-9 ,1975-8 ,1975-12,81.1,81.9,,-,
,,BE -5   ,DOEL-3,PWR  ,WH 3LP,3054,1056,1006,EBL+EDF,FRAMACEC,1975-1 ,1982-6 ,1982-10,78.8,79.8,,-,
,,BE -6   ,TIHANGE-2,PWR  ,WH 3LP,3064,1055,1008,EBL,FRAMACEC,1976-4 ,1982-10,1983-6 ,79.9,80.7,,-,
,,BE -7   ,DOEL-4,PWR  ,WH 3LP,2988,1090,1038,EBL+EDF,ACECOWEN,1978-12,1985-4 ,1985-7 ,83.5,84.1,,-,
,,BE -8   ,TIHANGE-3,PWR  ,WH 3LP,3000,1089,1038,EBL,ACECOWEN,1978-11,1985-6 ,1985-9 ,86.3,87.7,,-,
,BRAZIL,BR -1   ,ANGRA-1,PWR  ,WH 2LP,1882,640,609,ELETROBR,WH,1971-5 ,1982-4 ,1985-1 ,63.6,68.4,,-,
,,BR -2   ,ANGRA-2,PWR  ,PRE KONVOI,3764,1350,1275,ELETROBR,KWU,1976-1 ,2000-7 ,2001-2 ,86.7,87.8,,-,
,BULGARIA,BG -5   ,KOZLODUY-5,PWR  ,VVER V-320,3120,1040,1003,KNPP,AEE,1980-7 ,1987-11,1988-12,73.3,75.3,,DH,
,,BG -6   ,KOZLODUY-6,PWR  ,VVER V-320,3120,1040,1003,K N N P,AEE,1982-4 ,1991-8 ,1993-12,79,80.8,,DH,
,CANADA,CA -10  ,BRUCE-3,PHWR ,CANDU 750A,2550,865,770,BRUCEPOW,OH/AECL,1972-7 ,1977-12,1978-2 ,74,74.5,,-,
,,CA -11  ,BRUCE-4,PHWR ,CANDU 750A,2550,868,769,BRUCEPOW,OH/AECL,1972-9 ,1978-12,1979-1 ,74.7,75.3,,-,
,,CA -13  ,PICKERING-5,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1974-11,1982-12,1983-5 ,74.6,75.3,,-,
,,CA -14  ,PICKERING-6,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1975-10,1983-11,1984-2 ,78.6,79.3,,-,
,,CA -15  ,PICKERING-7,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1976-3 ,1984-11,1985-1 ,77.9,78.5,,-,
,,CA -16  ,PICKERING-8,PHWR ,CANDU 500B,1744,540,516,OPG,OH/AECL,1976-9 ,1986-1 ,1986-2 ,75.5,76.2,,-,
,,CA -17  ,POINT LEPREAU,PHWR ,CANDU 6,2180,705,660,NBEPC,AECL,1975-5 ,1982-9 ,1983-2 ,72.4,73.1,,-,
,,CA -18  ,BRUCE-5,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,1978-5 ,1984-12,1985-2 ,85.7,86.2,,-,
,,CA -19  ,BRUCE-6,PHWR ,CANDU 750B,2690,891,817,BRUCEPOW,OH/AECL,1978-1 ,1984-6 ,1984-9 ,79,79.6,,-,
,,CA -20  ,BRUCE-7,PHWR ,CANDU 750B,2832,872,817,BRUCEPOW,OH/AECL,1979-5 ,1986-2 ,1986-4 ,85.7,86.4,,-,
,,CA -21  ,BRUCE-8,PHWR ,CANDU 750B,2690,872,817,BRUCEPOW,OH/AECL,1979-7 ,1987-3 ,1987-5 ,84,84.9,,-,
,,CA -22  ,DARLINGTON-1,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1982-4 ,1990-12,1992-11,85.1,86.1,,-,
,,CA -23  ,DARLINGTON-2,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1981-9 ,1990-1 ,1990-10,71.2,72.1,,-,
,,CA -24  ,DARLINGTON-3,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1984-9 ,1992-12,1993-2 ,82.4,83.1,,-,
,,CA -25  ,DARLINGTON-4,PHWR ,CANDU 850,2776,934,878,OPG,OH/AECL,1985-7 ,1993-4 ,1993-6 ,85.5,86.3,,-,
,,CA -4   ,PICKERING-1,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,1966-6 ,1971-4 ,1971-7 ,68,68.2,,-,
,,CA -7   ,PICKERING-4,PHWR ,CANDU 500A,1744,542,515,OPG,OH/AECL,1968-5 ,1973-5 ,1973-6 ,68.2,68.6,,-,
,,CA -8   ,BRUCE-1,PHWR ,CANDU 791,2620,868,774,BRUCEPOW,OH/AECL,1971-6 ,1977-1 ,1977-9 ,72.4,72.8,,-,
,,CA -9   ,BRUCE-2,PHWR ,CANDU 791,2620,836,777,BRUCEPOW,OH/AECL,1970-12,1976-9 ,1977-9 ,69.9,70.4,,-,
,CHINA,CN -1   ,QINSHAN-1,PWR  ,CNP-300,966,330,308,CNNO,CNNC,1985-3 ,1991-12,1994-4 ,82.3,83.3,,-,
,,CN -10  ,TIANWAN-1,PWR  ,VVER V-428,3000,1060,1000,JNPC,IZ,1999-10,2006-5 ,2007-5 ,86.8,87,,-,
,,CN -11  ,TIANWAN-2,PWR  ,VVER V-428,3000,1060,1000,JNPC,IZ,2000-9 ,2007-5 ,2007-8 ,89.4,89.6,,-,
,,CN -12  ,LING AO-3,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,2005-12,2010-7 ,2010-9 ,87.6,88,,-,
,,CN -13  ,LING AO-4,PWR  ,CPR-1000,2905,1086,1007,DNMC,DEC,2006-6 ,2011-5 ,2011-8 ,89.4,90,,-,
,,CN -14  ,QINSHAN 2-3,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,2006-4 ,2010-8 ,2010-10,90.6,90.7,,-,
,,CN -15  ,QINSHAN 2-4,PWR  ,CNP-600,1930,660,619,NPQJVC,CNNC,2007-1 ,2011-11,2011-12,91.1,91.2,,-,
,,CN -16  ,HONGYANHE-1,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2007-8 ,2013-2 ,2013-6 ,88.9,89.9,,-,
,,CN -17  ,HONGYANHE-2,PWR  ,CPR-1000,2905,1119,1061,LHNPC,DEC,2008-3 ,2013-11,2014-5 ,86.1,87.2,,-,
